TargetName	S1	S2	S3	S4
ANKRD7	5	9	8	7
ANKRD9	14	17	10	15
ANKS1A	20	22	28	20
ANKS1B	62	111	162	44
ANKS3	39	37	41	29
ANKS4B	14	25	11	16
ANKS6	25	22	22	17
ANKUB1	11	22	17	19
ANKZF1	37	47	42	55
ANLN	51	46	79	33
ANO1	13	21	20	16
ANO10	57	42	65	36
ANO2	14	30	34	21
ANO3	12	21	17	13
ANO4	4	22	20	8
ANO5	21	19	25	22
ANO6	32	23	29	27
ANO7	23	39	29	15
ANO8	64	80	115	76
ANO9	15	23	12	9
ANOS1	105	28	64	22
ANP32A	102	139	118	121
ANP32D	23	22	15	23
ANP32E	100	69	30	82
ANPEP	22	24	22	22
ANTKMT,FAM173A	35	44	57	43
ANTXR1	74	95	36	105
ANTXR2	46	48	52	36
ANTXRL	17	24	21	25
ANXA1	20	40	13	22
ANXA10	11	27	16	19
ANXA11	18	26	23	19
ANXA13	13	30	12	15
ANXA2	53	63	20	49
ANXA2R	11	25	16	25
ANXA3	18	31	23	15
ANXA4	20	29	18	25
ANXA5	51	48	18	30
ANXA6	52	76	53	52
ANXA7	32	40	37	28
ANXA8,ANXA8L1	23	33	18	24
ANXA9	12	25	14	13
AOAH	21	32	9	18
AOC1	11	23	15	11
AOC2	8	22	18	10
AOC3	12	24	20	12
AOPEP	30	35	18	26
AOX1	11	12	12	15
AP1AR	24	33	73	35
AP1B1	20	45	29	25
AP1G1	46	46	53	35
AP1G2	15	26	21	14
AP1M1	48	66	117	47
AP1M2	18	23	15	21
AP1S1	1	2	4	1
AP1S3	14	26	31	21
AP2A1	55	55	90	46
AP2B1	106	142	311	90
AP2M1	135	165	243	138
AP2S1	53	68	102	69
AP3B1	35	61	67	40
AP3B2	17	30	52	23
AP3D1	59	78	92	62
AP3M1	49	63	47	38
AP3M2	33	46	54	25
AP3S1	71	78	169	69
AP3S2	15	24	20	18
AP4B1-AS1,AP4B1	31	49	62	42
AP4E1	35	37	35	36
AP4M1	26	34	21	27
AP4S1	19	24	26	13
AP5B1	18	21	32	24
AP5M1	40	42	47	35
AP5S1	14	33	23	18
AP5Z1	19	17	20	27
APAF1	13	6	13	11
APBA2	111	86	124	120
APBA3	28	36	34	31
APBB1	78	120	239	104
APBB1IP	6	16	8	7
APBB3	38	61	68	52
APC	72	84	129	74
APC2	107	167	228	169
APCDD1	36	59	20	27
APCDD1L	6	21	18	18
APCS	14	30	19	16
APEH	30	47	40	26
APELA	5	14	9	8
APEX1	125	128	94	106
APEX2	16	36	17	31
APH1A	65	64	64	56
APH1B	22	36	29	26
API5	87	105	81	72
APIP	53	50	42	40
APLF	12	25	19	16
APLN	18	44	23	22
APLNR	9	27	23	22
APLP1	135	170	667	142
APLP2	125	176	173	151
APMAP	72	88	123	104
APOA1	15	26	30	20
APOA2	31	40	36	33
APOA4	23	30	16	21
APOA5	18	36	14	20
APOB	21	34	33	32
APOBEC1	16	26	13	17
APOBEC2	16	39	19	17
APOBEC3A,APOBEC3A_B,APOBEC3B	7	25	10	6
APOBEC3C	9	22	21	10
APOBEC3D	9	21	14	14
APOBEC3F,APOBEC3G	14	19	18	17
APOBEC3H	7	14	8	8
APOBEC4	8	18	13	17
APOBR	3	15	5	9
APOC1	20	30	23	23
APOC2,APOC4-APOC2	24	27	25	19
APOC3	23	36	20	27
APOC4-APOC2,APOC4	20	23	25	15
APOD	14	23	22	17
APOE	164	40	17	17
APOF	16	25	23	27
APOH	15	23	17	16
APOL1	17	22	18	18
APOL2	34	28	16	12
APOL3	1005	1322	2836	1242
APOL5	9	22	21	13
APOL6	12	21	27	12
APOLD1	52	38	26	44
APOM	14	10	9	14
APOO	37	39	57	34
APOOL	13	20	15	17
APP	148	231	690	219
APPBP2	66	65	59	73
APPL1	61	81	74	58
APPL2	31	40	38	41
APRT	35	45	36	32
APTX	36	76	51	45
AQP1	8	23	15	13
AQP10	10	22	18	15
AQP11	20	30	21	24
AQP12A,AQP12B	9	28	9	9
AQP2	14	27	16	17
AQP3	17	22	19	14
AQP4	113	23	19	8
AQP5	11	24	24	11
AQP6	14	29	20	20
AQP7	31	32	22	23
AQP8	11	25	21	27
AQP9	16	19	24	18
